trade_num,Flat (No MG),Flat + Skip 2L,MG Next Signal (x1.5),MG Next Signal (x2),MG Next Signal (x3.0),MG1 (x1.5),MG1 (x2),MG1 (x2.5),MG1 (x3.0),MG2 (x1.5),MG2 (x2),MG2 (x2.5),MG2 (x3.0),MG2 + Stop 1L,Masaniello,Masaniello (cap $1000),Masaniello (cap $2000),Masaniello (cap $500),Soros (3-level cap),Soros (Anti-MG)
109,-112.4,-93.6,-110.0,-107.6,-102.8,-177.8,-199.6,-221.4,-243.2,-111.2,-81.2,-36.4,23.2,-231.6,3475.33,5644.16,5644.16,5644.16,1573.4,1573.4
110,-103.6,-84.8,-101.2,-98.8,-94.0,-169.0,-190.8,-212.6,-234.4,-102.4,-72.4,-27.6,32.0,-226.4,3519.33,5715.59,5715.59,5715.59,1582.2,1582.2
111,-94.8,-94.8,-92.4,-90.0,-85.2,-160.2,-182.0,-203.8,-225.6,-93.6,-63.6,-18.8,40.8,-217.6,3563.33,5784.82,5784.82,5784.82,1598.75,1598.75
112,-104.8,-104.8,-102.4,-100.0,-95.2,-185.2,-212.0,-238.8,-265.6,-141.1,-133.6,-116.3,-89.2,-208.8,3513.33,5709.07,5709.07,5709.07,1563.4,1563.4
113,-114.8,-96.0,-117.4,-120.0,-125.2,-210.2,-242.0,-273.8,-305.6,-188.6,-203.6,-213.8,-219.2,-201.2,3463.33,5626.42,5626.42,5626.42,1553.4,1553.4
114,-124.8,-106.0,-127.4,-130.0,-135.2,-235.2,-272.0,-308.8,-345.6,-193.8,-198.4,-193.8,-180.0,-193.6,3507.33,5706.42,5706.42,5706.42,1562.2,1562.2
115,-116.0,-116.0,-114.2,-112.4,-108.8,-226.4,-263.2,-300.0,-336.8,-185.0,-189.6,-185.0,-171.2,-186.0,3551.33,5784.2,5784.2,5784.2,1578.75,1578.75
116,-126.0,-107.2,-124.2,-122.4,-118.8,-223.2,-255.6,-288.0,-320.4,-181.8,-182.0,-173.0,-154.8,-178.4,3595.33,5859.2,5859.2,5859.2,1609.85,1609.85
117,-136.0,-98.4,-139.2,-142.4,-148.8,-220.0,-248.0,-276.0,-304.0,-178.6,-174.4,-161.0,-138.4,-170.8,3639.33,5930.63,5930.63,5930.63,1618.65,1618.65
118,-146.0,-108.4,-149.2,-152.4,-158.8,-245.0,-278.0,-311.0,-344.0,-183.8,-169.2,-141.0,-99.2,-163.2,3683.33,5997.29,5997.29,5997.29,1635.19,1635.19
119,-137.2,-118.4,-136.0,-134.8,-132.4,-236.2,-269.2,-302.2,-335.2,-175.0,-160.4,-132.2,-90.4,-155.6,3727.33,6057.29,6057.29,6057.29,1666.3,1666.3
120,-147.2,-128.4,-146.0,-144.8,-142.4,-233.0,-261.6,-290.2,-318.8,-171.8,-152.8,-120.2,-74.0,-146.8,3771.33,6107.29,6107.29,6107.29,1675.1,1675.1
121,-138.4,-119.6,-132.8,-127.2,-116.0,-224.2,-252.8,-281.4,-310.0,-163.0,-144.0,-111.4,-65.2,-139.2,3804.67,6140.63,6140.63,6140.63,1691.64,1691.64
122,-148.4,-110.8,-142.8,-137.2,-126.0,-221.0,-245.2,-269.4,-293.6,-159.8,-136.4,-99.4,-48.8,-130.4,3813.47,6149.43,6149.43,6149.43,1722.74,1722.74
123,-158.4,-102.0,-157.8,-157.2,-156.0,-217.8,-237.6,-257.4,-277.2,-156.6,-128.8,-87.4,-32.4,-121.6,3822.27,6158.23,6158.23,6158.23,1731.54,1731.54
124,-149.6,-112.0,-149.0,-148.4,-147.2,-209.0,-228.8,-248.6,-268.4,-147.8,-120.0,-78.6,-23.6,-112.8,3866.27,6238.23,6238.23,6238.23,1748.09,1748.09
125,-159.6,-103.2,-159.0,-158.4,-157.2,-234.0,-258.8,-283.6,-308.4,-195.3,-190.0,-176.1,-153.6,-104.0,3816.27,6148.51,6148.51,6148.51,1712.74,1712.74
126,-150.8,-94.4,-145.8,-140.8,-130.8,-225.2,-250.0,-274.8,-299.6,-186.5,-181.2,-167.3,-144.8,-96.4,3860.27,6231.85,6231.85,6231.85,1721.54,1721.54
127,-142.0,-104.4,-137.0,-132.0,-122.0,-216.4,-241.2,-266.0,-290.8,-177.7,-172.4,-158.5,-136.0,-88.8,3904.27,6314.2,6314.2,6314.2,1738.09,1738.09
128,-133.2,-114.4,-128.2,-123.2,-113.2,-207.6,-232.4,-257.2,-282.0,-168.9,-163.6,-149.7,-127.2,-83.6,3948.27,6395.45,6395.45,6395.45,1769.19,1769.19
129,-143.2,-124.4,-138.2,-133.2,-123.2,-232.6,-262.4,-292.2,-322.0,-216.4,-233.6,-247.2,-257.2,-78.4,3898.27,6304.54,6304.54,6304.54,1759.19,1759.19
130,-134.4,-134.4,-125.0,-115.6,-96.8,-223.8,-253.6,-283.4,-313.2,-207.6,-224.8,-238.4,-248.4,-69.6,3942.27,6390.26,6390.26,6390.26,1767.99,1767.99
131,-125.6,-144.4,-116.2,-106.8,-88.0,-215.0,-244.8,-274.6,-304.4,-198.8,-216.0,-229.6,-239.6,-60.8,3986.27,6474.87,6474.87,6474.87,1784.53,1784.53
